Lower tier local authorities code,Lower tier local authorities label,Count
E08000025,Birmingham,1130646
E08000035,Leeds,803134
E06000052,Cornwall,565553
E08000019,Sheffield,550796
E06000060,Buckinghamshire,547435
E08000003,Manchester,545364
E08000032,Bradford,539778
E06000047,County Durham,517450
E06000054,Wiltshire,505781
E08000012,Liverpool,481069
E06000023,Bristol,467283
E08000034,Kirklees,428462
E06000062,West Northamptonshire,421258
E06000058,"Bournemouth, Christchurch and Poole",396517
E06000049,Cheshire East,395125
E09000008,Croydon,385629
E09000003,Barnet,384747
E06000059,Dorset,376911
E06000016,Leicester,364360
E09000009,Ealing,362964
W06000015,Cardiff,358749
E06000061,North Northamptonshire,355812
E06000050,Cheshire West and Chester,353870
E08000036,Wakefield,349512
E09000025,Newham,346241
E08000026,Coventry,341401
E06000011,East Riding of Yorkshire,339599
E08000028,Sandwell,337568
E09000005,Brent,335829
E09000006,Bromley,326354
E09000010,Enfield,326268
E08000010,Wigan,325958
E09000032,Wandsworth,323481
E06000051,Shropshire,320954
E06000018,Nottingham,320474
E08000027,Dudley,320023
E06000057,Northumberland,317995
E08000015,Wirral,317217
E09000022,Lambeth,314510
E09000030,Tower Hamlets,306329
E09000026,Redbridge,306190
E08000017,Doncaster,304827
E09000028,Southwark,304399
E09000017,Hillingdon,302105
E08000021,Newcastle upon Tyne,297146
E09000023,Lewisham,296712
E08000001,Bolton,292418
E08000007,Stockport,291600
E06000056,Central Bedfordshire,290942
E06000025,South Gloucestershire,287358
E09000011,Greenwich,285285
E09000018,Hounslow,284635
E06000042,Milton Keynes,283813
E08000030,Walsall,280788
E08000014,Sefton,276787
E06000035,Medway,276493
E06000043,Brighton and Hove,274888
E09000031,Waltham Forest,274505
E08000024,Sunderland,271546
E08000006,Salford,266365
E06000010,Kingston upon Hull,263919
E08000018,Rotherham,263063
E06000026,Plymouth,262241
E09000014,Haringey,261205
E08000031,Wolverhampton,260653
E09000016,Havering,258962
E06000015,Derby,258445
E09000015,Harrow,258170
E09000012,Hackney,255759
E06000021,Stoke-on-Trent,255339
E06000045,Southampton,246205
E07000244,East Suffolk,244195
E09000004,Bexley,243656
E08000016,Barnsley,242063
E08000004,Oldham,239102
W06000011,Swansea,236487
W06000016,Rhondda Cynon Taf,235349
E08000009,Trafford,232660
E06000030,Swindon,230892
E08000008,Tameside,228540
E06000032,Luton,222120
E08000005,Rochdale,220982
E09000002,Barking and Dagenham,215708
E06000024,North Somerset,214786
E08000029,Solihull,214172
E09000019,Islington,214137
E06000031,Peterborough,212969
E09000024,Merton,212448
E06000007,Warrington,209029
E09000007,Camden,208097
E09000029,Sutton,207322
E08000022,North Tyneside,206996
E06000044,Portsmouth,205777
E08000033,Calderdale,204520
E09000033,Westminster,202370
E06000014,York,201123
E06000004,Stockton-on-Tees,194680
E08000037,Gateshead,194270
E09000027,Richmond upon Thames,193252
E08000002,Bury,191710
E06000022,Bath and North East Somerset,191643
E07000071,Colchester,190714
W06000010,Carmarthenshire,186218
E06000019,Herefordshire,185528
E07000066,Basildon,185314
E06000020,Telford and Wrekin,183541
E07000084,Basingstoke and Deane,183184
E06000055,Bedford,183068
E07000130,Charnwood,182299
E08000013,St. Helens,181426
E09000013,Hammersmith and Fulham,181279
E07000070,Chelmsford,179722
E07000011,Huntingdonshire,179073
E06000033,Southend-on-Sea,178720
E07000245,West Suffolk,178094
E06000041,Wokingham,175782
E07000091,New Forest,174491
W06000018,Caerphilly,174335
E07000110,Maidstone,173851
E06000034,Thurrock,173717
E06000038,Reading,172251
E07000189,South Somerset,171092
E06000013,North Lincolnshire,168113
E09000021,Kingston upon Thames,166248
E07000224,Arun,163541
E07000165,Harrogate,161377
E07000178,Oxford,160642
E07000012,South Cambridgeshire,160530
E06000037,West Berkshire,159942
E07000177,Cherwell,159249
E07000065,Wealden,158860
W06000022,Newport,157740
E06000039,Slough,156336
E07000106,Canterbury,156202
E07000246,Somerset West and Taunton,156042
E06000012,North East Lincolnshire,155437
E07000067,Braintree,153813
W06000005,Flintshire,153537
E07000096,Dacorum,153276
E07000146,King's Lynn and West Norfolk,152959
E06000008,Blackburn with Darwen,152818
E08000011,Knowsley,152714
E06000040,Windsor and Maidenhead,152035
E07000228,Mid Sussex,151054
E07000113,Swale,150085
E07000040,East Devon,149642
E07000211,Reigate and Banstead,149166
E07000242,East Hertfordshire,148598
E07000179,South Oxfordshire,147618
E07000222,Warwick,147082
E07000076,Tendring,147040
E07000240,St Albans,146663
E08000023,South Tyneside,146322
E07000123,Preston,146066
E07000227,Horsham,145451
E07000008,Cambridge,144453
W06000013,Bridgend,144142
E07000148,Norwich,142577
E07000209,Guildford,142396
E06000002,Middlesbrough,142289
E07000141,South Kesteven,142136
E09000020,Kensington and Chelsea,142095
E07000121,Lancaster,141698
E07000137,East Lindsey,141242
W06000012,Neath Port Talbot,141025
E07000149,South Norfolk,140699
E07000143,Breckland,140250
E06000009,Blackpool,139630
E06000046,Isle of Wight,139476
E07000114,Thanet,139183
E06000027,Torbay,138244
E07000202,Ipswich,138120
E07000180,Vale of White Horse,137516
E07000207,Elmbridge,137242
E07000197,Stafford,135658
E06000003,Redcar and Cleveland,135359
E07000086,Eastleigh,135065
W06000006,Wrexham,133861
E07000045,Teignbridge,133762
E07000221,Stratford-on-Avon,133542
E07000072,Epping Forest,133469
E07000219,Nuneaton and Bedworth,132709
W06000023,Powys,132125
E07000099,North Hertfordshire,131792
E07000105,Ashford,131349
E07000238,Wychavon,131332
E07000081,Gloucester,131017
E07000115,Tonbridge and Malling,130847
W06000014,Vale of Glamorgan,130710
E07000144,Broadland,130708
E07000041,Exeter,129543
E07000093,Test Valley,129278
E06000006,Halton,127221
E07000216,Waverley,127141
E07000094,Winchester,126375
E07000032,Amber Valley,125111
E07000170,Ashfield,125068
E07000085,East Hampshire,124658
E07000188,Sedgemoor,124257
E06000036,Bracknell Forest,123258
E07000225,Chichester,123142
E07000090,Havant,123080
E07000193,East Staffordshire,122695
W06000009,Pembrokeshire,122369
E07000195,Newcastle-under-Lyme,122180
E07000175,Newark and Sherwood,121764
E07000082,Stroud,120107
E07000111,Sevenoaks,119276
