England and Wales code,England and Wales label,Migration National (inflow) (4 categories) code,Migration National (inflow) (4 categories) label,Ethnic group (6 categories) code,Ethnic group (6 categories) label,National Statistics Socio-economic Classification (NS-SeC) (10 categories) code,National Statistics Socio-economic Classification (NS-SeC) (10 categories) label,Count
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,3,L7: Intermediate occupations,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,4,L8 and L9: Small employers and own account workers,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,5,L10 and L11: Lower supervisory and technical occupations,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,6,L12: Semi-routine occupations,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,7,L13: Routine occupations,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,8,L14.1 and L14.2: Never worked and long-term unemployed,0
K04000001,England and Wales,-8,Does not apply,-8,Does not apply,9,L15: Full-time students,0
K04000001,England and Wales,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
K04000001,England and Wales,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
K04000001,England and Wales,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",3,L7: Intermediate occupations,0
K04000001,England and Wales,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",4,L8 and L9: Small employers and own account workers,0
K04000001,England and Wales,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",5,L10 and L11: Lower supervisory and technical occupations,0
K04000001,England and Wales,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",6,L12: Semi-routine occupations,0
K04000001,England and Wales,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",7,L13: Routine occupations,0
K04000001,England and Wales,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",8,L14.1 and L14.2: Never worked and long-term unemployed,0
K04000001,England and Wales,-8,Does not apply,1,"Asian, Asian British or Asian Welsh",9,L15: Full-time students,0
K04000001,England and Wales,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",1,"L1, L2 and L3: Higher managerial, administrative and professional occupations",0
K04000001,England and Wales,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",2,"L4, L5 and L6: Lower managerial, administrative and professional occupations",0
K04000001,England and Wales,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",3,L7: Intermediate occupations,0
K04000001,England and Wales,-8,Does not apply,2,"Black, Black British, Black Welsh, Caribbean or African",4,L8 and L9: Small employers and own account workers,0
